pp,start_date,end_date,duration,finished,response_id,fullfil_criteria,consent,prolific_id,group,hungry,thirsty,desire_instructions_time,simulations_instructions_time,food_type,stimulus_no,food,label_type,measure,rating,time,age,gender,height_choice,height_cm,height_feet,height_inches,weight_choice,weight_kilos,weight_stones,weight_pounds,weight_pounds_only,diet,diet_details,meat_per_week,change_diet,attitude_meat,attitude_vegan,attitude_pb,allergies,allergies_details,language_issues,language_issues_details,didnt_like,study_about,technical_issues,page_time_median,speed_factor,speed_factor_trimmed,rsi,attitude_pb_vegan,attitude_pb_vegan_c,meat_per_week_c,change_diet_s,meat_per_week_s,hungry_s
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,1,chicken_balti,control,attractiveness,42.68,6.309,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.1415,0.8149469012521794,0.8149469012521794,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,5,pasta_bake,control,attractiveness,91.55,7.327,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.0545,0.689845775897366,0.689845775897366,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,6,risottoo,control,attractiveness,84.51,5.631,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.351,0.9502752619428165,0.9502752619428165,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,10,beef_casserole,control,attractiveness,73.66,5.468,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,4.5835,0.8382406730065838,0.8382406730065838,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,11,chicken_arrabbiata,control,attractiveness,57.32,6.235,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.0280000000000005,0.8064153969526865,0.8064153969526865,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,12,haddock,control,attractiveness,69.15,6.176,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.4275,0.8788050518134715,0.8788050518134715,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,14,chicken_soup,control,attractiveness,73.52,4.36,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,4.7555,1.0907110091743117,1.0907110091743117,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,15,chicken_breast,control,attractiveness,63.66,6.003,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,4.9505,0.8246709978344161,0.8246709978344161,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,16,moussaka,control,attractiveness,77.61,12.532,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.179,0.41326204915416537,0.41326204915416537,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
pp_5,2019-06-21T13:30:23Z,2019-06-21T13:43:45Z,801,yes,R_R9bjWNO7rDxXBOp,yes,yes,5a44234ef7b7bc00014e0047,2,52,41,9.04,8.459,meat_based,19,chicken_enchiladas,control,attractiveness,58.17,5.634,41,female,cm,155,NA,NA,stones_pounds,73,11,6,NA,omnivore,NA,7,5.46,92.47,23.87,58.59,no,i have no allergies,no,NA,i dont like chilli,using descriptive words to sell food,no,5.412000000000001,0.9605963791267307,0.9605963791267307,0.887076315055462,41.230000000000004,-15.734036144578312,0.04216867469879482,-1.1531251268542497,0.011361972209274533,23.42168674698795
