food_id,food,food_type,supermarket,count,proportion,total,consumption_total,non_consumption_total,situation_independent_total,sensory_total,positive_total,negative_total,contextual_total,consumption_proportion,non_consumption_proportion,situation_independent_proportion,sensory_proportion,positive_proportion,negative_proportion,contextual_proportion
86,mixed_vegetable_masala,vegetarian,m&s,1,0.1111111111111111,9,1,1,7,1,0,0,0,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.1111111111111111,0,0,0
87,tesco_cauliflower_cheese,vegetarian,tesco,1,0.125,8,0,1,7,0,0,0,0,0,0.125,0.875,0,0,0,0
88,spinach_ricotta_cannelloni,vegetarian,m&s,0,0,9,0,2,7,0,0,0,0,0,0.2222222222222222,0.7777777777777778,0,0,0,0
89,tesco_vegetable_bake,vegetarian,tesco,0,0,12,0,0,12,0,0,0,0,0,0,1,0,0,0,0
90,tesco_vegetable_butternut_squash_spinach_feta_lasagne,vegetarian,tesco,0,0,12,0,0,12,0,0,0,0,0,0,1,0,0,0,0
91,tesco_mushroom_risotto,vegetarian,tesco,1,0.1111111111111111,9,0,1,8,0,0,0,0,0,0.1111111111111111,0.8888888888888888,0,0,0,0
92,quorn_meat_free_steak_style_pie,vegetarian,tesco,2,0.2,10,0,2,8,0,0,0,0,0,0.2,0.8,0,0,0,0
93,tesco_takeaway_vegetable_curry,vegetarian,tesco,0,0,5,1,0,4,1,0,0,0,0.2,0,0.8,0.2,0,0,0
94,iceland_battered_onion_rings,vegetarian,iceland,2,0.25,8,1,2,5,1,0,0,0,0.125,0.25,0.625,0.125,0,0,0
95,iceland_12_mozzarella_sticks,vegetarian,iceland,0,0,5,0,0,5,0,0,0,0,0,0,1,0,0,0,0
96,iceland_cauliflower_cheese,vegetarian,iceland,0,0,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0
97,iceland_american_style_breaded_garlic_mushrooms,vegetarian,iceland,0,0,6,1,0,5,1,0,0,0,0.16666666666666666,0,0.8333333333333334,0.16666666666666666,0,0,0
98,iceland_2_spicy_nacho_bean_burgers,vegetarian,iceland,1,0.08333333333333333,12,0,2,10,0,0,0,0,0,0.16666666666666666,0.8333333333333334,0,0,0,0
99,iceland_spanish_style_omelette_with_cheddar_cheese_and_caramelised_onion,vegetarian,iceland,4,0.26666666666666666,15,2,4,9,2,0,0,0,0.13333333333333333,0.26666666666666666,0.6,0.13333333333333333,0,0,0
100,iceland_4_broccoli_cauliflower_creamy_gratins,vegetarian,iceland,2,0.25,8,1,2,5,1,0,0,0,0.125,0.25,0.625,0.125,0,0,0
101,iceland_cauliflower_broccoli_cheese,vegetarian,iceland,0,0,7,2,0,5,2,0,0,0,0.2857142857142857,0,0.7142857142857143,0.2857142857142857,0,0,0
102,iceland_luxury_ultra_thin_wood_fired_margherita_pizza,vegetarian,iceland,1,0.1,10,1,1,8,1,0,0,0,0.1,0.1,0.8,0.1,0,0,0
103,slimming_world_free_food_vegetable_biryani,vegetarian,iceland,2,0.16666666666666666,12,1,2,9,1,0,0,0,0.08333333333333333,0.16666666666666666,0.75,0.08333333333333333,0,0,0
104,iceland_45_cheese_onion_rolls,vegetarian,iceland,1,0.16666666666666666,6,0,1,5,0,0,0,0,0,0.16666666666666666,0.8333333333333334,0,0,0,0
105,iceland_4_cheese_onion_crispbakes,vegetarian,iceland,0,0,12,3,0,9,3,0,0,0,0.25,0,0.75,0.25,0,0,0
106,iceland_stonebaked_four_cheese_pizza,vegetarian,iceland,2,0.16666666666666666,12,1,2,9,1,0,0,0,0.08333333333333333,0.16666666666666666,0.75,0.08333333333333333,0,0,0
107,shazans_20_vegetable_samosas,vegetarian,iceland,1,0.14285714285714285,7,3,1,3,2,1,0,0,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0,0
108,shazans_12_bite_size_onion_bhajis,vegetarian,iceland,2,0.3333333333333333,6,1,2,3,1,0,0,0,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0,0,0
109,iceland_italian_tomato_mascarpone_bake,vegetarian,iceland,3,0.3,10,0,3,7,0,0,0,0,0,0.3,0.7,0,0,0,0
110,shazans_12_bite_size_punjabi_samosas,vegetarian,iceland,1,0.14285714285714285,7,1,1,5,1,0,0,0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.14285714285714285,0,0,0
111,moroccan_spiced_butternut_salad,vegetarian,m&s,1,0.1,10,1,2,7,1,0,0,0,0.1,0.2,0.7,0.1,0,0,0
112,beetroot_goats_cheese_lentil_salad,vegetarian,m&s,2,0.2,10,0,2,8,0,0,0,0,0,0.2,0.8,0,0,0,0
113,avocado_feta_grain_salad,vegetarian,m&s,1,0.1,10,1,1,8,1,0,0,0,0.1,0.1,0.8,0.1,0,0,0
114,tomato_mozzarella_pastries,vegetarian,m&s,1,0.14285714285714285,7,0,1,6,0,0,0,0,0,0.14285714285714285,0.8571428571428571,0,0,0,0
115,courgette_halloumi_triangles,vegetarian,m&s,0,0,5,0,0,5,0,0,0,0,0,0,1,0,0,0,0
116,mini_cheese_onion_muffins,vegetarian,m&s,2,0.2222222222222222,9,0,2,7,0,0,0,0,0,0.2222222222222222,0.7777777777777778,0,0,0,0
117,classic_tomato_camembert_tarts,vegetarian,m&s,0,0,5,0,0,5,0,0,0,0,0,0,1,0,0,0,0
118,tomato_basil_spaghetti,vegetarian,m&s,1,0.09090909090909091,11,0,3,8,0,0,0,0,0,0.2727272727272727,0.7272727272727273,0,0,0,0
119,macaroni_cheese,vegetarian,m&s,3,0.3,10,2,5,3,1,1,0,0,0.2,0.5,0.3,0.1,0.1,0,0
120,mushroom_pappardelle,vegetarian,m&s,1,0.08333333333333333,12,1,1,10,0,1,0,0,0.08333333333333333,0.08333333333333333,0.8333333333333334,0,0.08333333333333333,0,0
121,four_cheese_ravioli,vegetarian,m&s,0,0,12,1,0,11,1,0,0,0,0.08333333333333333,0,0.9166666666666666,0.08333333333333333,0,0,0
122,filled_red_peppers,vegetarian,m&s,0,0,8,0,0,8,0,0,0,0,0,0,1,0,0,0,0
123,sweet_potato_red_pepper_sausages,vegetarian,m&s,1,0.1,10,1,1,8,1,0,0,0,0.1,0.1,0.8,0.1,0,0,0
124,vegetarian_kiev,vegetarian,m&s,0,0,9,0,0,9,0,0,0,0,0,0,1,0,0,0,0
